user_id,date,steps,active_minutes,workout_intensity,sleep_hours,average_heart_rate,resting_heart_rate,weekday,is_weekend,source_dataset,sleep_baseline,resting_hr_baseline,active_minutes_baseline,activity_load,sleep_debt_hours,resting_hr_deviation,activity_deviation_minutes,sleep_lag_1d,previous_activity_load,active_minutes_lag_1d,resting_hr_deviation_lag_1d,next_day_active_minutes,next_day_steps,sleep_3d_avg,sleep_5d_avg,sleep_7d_avg,sleep_ewm_3d,sleep_debt_3d_avg,sleep_debt_5d_avg,sleep_debt_7d_avg,sleep_debt_ewm_3d,prior_activity_load_3d_avg,prior_activity_load_5d_avg,prior_activity_load_7d_avg,prior_activity_load_ewm_3d,prior_active_minutes_3d_avg,prior_active_minutes_5d_avg,prior_active_minutes_7d_avg,prior_active_minutes_ewm_3d,resting_hr_deviation_3d_avg,resting_hr_deviation_5d_avg,resting_hr_deviation_7d_avg,resting_hr_deviation_ewm_3d,activity_load_3d_avg,activity_load_5d_avg,activity_load_7d_avg,activity_load_ewm_3d,active_minutes_3d_avg,active_minutes_5d_avg,active_minutes_7d_avg,active_minutes_ewm_3d,fatigue_score,fatigue_risk,behavior_cluster,behavior_profile
1503960366,2016-04-21,9819.0,238.0,0.1,5.416666666666667,70.0,62.0,3,0,fitbit,6.0,62.0,267.0,39.579,0.583333333333333,0.0,-29.0,6.0,41.66808163265306,245.0,0.0,324.0,14371.0,5.4944444444444445,6.763333333333333,6.726190476190475,6.283399678968056,0.65,0.5366666666666667,0.38333333333333336,0.35911806018718917,46.669290430625836,46.23718470120432,47.490167687001886,49.174772699110335,270.6666666666667,270.2,282.0,293.89445540772977,0.0,0.0,0.0,0.0,46.846389529724924,45.236702348263144,44.83610913899252,47.19516983850774,276.0,263.4,263.7142857142857,282.36345865670995,2.1292161904761904,medium,0,high-activity low-recovery user
1503960366,2016-04-23,14371.0,324.0,0.1654320987654321,6.016666666666667,70.0,62.0,5,1,fitbit,5.833333333333334,62.0,262.0,55.236185185185185,0.0,0.0,62.0,5.416666666666667,39.579,238.0,0.0,282.0,10039.0,5.811111111111111,6.833333333333334,6.671428571428572,6.2283727988276025,0.2055555555555554,0.39,0.38333333333333336,0.28503219326096163,46.846389529724924,45.236702348263144,44.83610913899252,47.19516983850774,276.0,263.4,263.7142857142857,282.36345865670995,0.0,0.0,0.0,0.0,45.49442227261275,46.96461129541254,46.57158695588668,48.85402707508108,269.0,274.8,273.2857142857143,290.95305523567197,1.3852650000000002,low,0,high-activity low-recovery user
1503960366,2016-04-24,10039.0,282.0,0.14893617021276595,7.166666666666667,70.0,62.0,6,1,fitbit,6.0,62.0,267.0,45.66623404255319,0.0,0.0,15.0,6.016666666666667,55.236185185185185,324.0,0.0,303.0,15355.0,6.2,5.933333333333334,6.714285714285714,6.421942330235146,0.19444444444444434,0.39,0.38333333333333336,0.22623020171362684,45.49442227261275,46.96461129541254,46.57158695588668,48.85402707508108,269.0,274.8,273.2857142857143,290.95305523567197,0.0,0.0,0.0,0.0,46.827139742579455,48.288317563382634,46.72656156700772,48.196387049199025,281.3333333333333,286.8,274.7142857142857,289.10604464971755,1.9332664814814817,medium,0,high-activity low-recovery user
1503960366,2016-04-25,15355.0,303.0,0.26864686468646864,4.616666666666666,70.0,62.0,0,0,fitbit,6.008333333333333,62.0,269.5,54.93876237623763,1.3916666666666666,0.0,33.5,7.166666666666667,45.66623404255319,282.0,0.0,333.0,13755.0,5.933333333333333,5.843333333333334,6.564285714285715,6.049514910387264,0.46388888888888885,0.40166666666666656,0.4773809523809524,0.4666591314323891,46.827139742579455,48.288317563382634,46.72656156700772,48.196387049199025,281.3333333333333,286.8,274.7142857142857,289.10604464971755,0.0,0.0,0.0,0.0,51.94706053465867,47.417652647325816,47.918293270836216,49.58733553278487,303.0,278.4,279.85714285714283,291.9723603304812,3.198734858156028,high,0,high-activity low-recovery user
1503960366,2016-04-26,13755.0,333.0,0.13453453453453454,4.083333333333333,70.0,62.0,1,0,fitbit,6.0,62.0,272.0,55.329414414414416,1.916666666666667,0.0,61.0,4.616666666666666,54.93876237623763,303.0,0.0,265.0,13154.0,5.288888888888889,5.46,5.48095238095238,5.643892685221284,1.1027777777777779,0.7783333333333333,0.7511904761904763,0.7657949232703125,51.94706053465867,47.417652647325816,47.918293270836216,49.58733553278487,303.0,278.4,279.85714285714283,291.9723603304812,0.0,0.0,0.0,0.0,51.97813694440175,50.14991920367808,50.24425208679503,50.77192338582285,306.0,296.0,295.7142857142857,300.4363408144168,4.127023349834984,high,0,high-activity low-recovery user
1503960366,2016-04-28,13154.0,265.0,0.24452830188679245,6.1,70.0,62.0,3,0,fitbit,5.833333333333334,62.0,277.0,47.8883396226415,0.0,0.0,-12.0,4.083333333333333,55.329414414414416,333.0,0.0,271.0,11181.0,4.933333333333333,5.596666666666666,5.628571428571428,5.737987384354938,1.1027777777777779,0.6616666666666667,0.5607142857142857,0.6078118333956004,51.97813694440175,50.14991920367808,50.24425208679503,50.77192338582285,306.0,296.0,295.7142857142857,300.4363408144168,0.0,0.0,0.0,0.0,52.718838804431186,51.81178712820639,48.61514532481215,50.17704157219775,300.3333333333333,301.4,284.2857142857143,293.1258423433544,1.9365295045045048,medium,0,high-activity low-recovery user
1503960366,2016-04-29,11181.0,271.0,0.08560885608856088,5.683333333333334,70.0,62.0,4,0,fitbit,6.0,62.0,272.0,44.72830627306272,0.31666666666666643,0.0,-1.0,6.1,47.8883396226415,265.0,0.0,303.0,14673.0,5.288888888888889,5.529999999999999,5.583333333333334,5.726712282376343,0.7444444444444445,0.725,0.6011904761904762,0.5477487386371498,52.718838804431186,51.81178712820639,48.61514532481215,50.17704157219775,300.3333333333333,301.4,284.2857142857143,293.1258423433544,0.0,0.0,0.0,0.0,49.31535343670621,49.71021134578189,49.05232027344209,49.05297034593433,289.6666666666667,290.8,288.0,288.5612927057617,2.040258553459119,medium,0,high-activity low-recovery user
1503960366,2016-04-30,14673.0,303.0,0.23894389438943897,6.733333333333333,70.0,62.0,5,1,fitbit,5.841666666666667,62.0,271.5,53.90032673267327,0.0,0.0,31.5,5.683333333333334,44.72830627306272,271.0,0.0,314.0,10602.0,6.172222222222222,5.443333333333333,5.771428571428572,5.934377675722103,0.10555555555555547,0.725,0.5178571428571429,0.434748461963433,49.31535343670621,49.71021134578189,49.05232027344209,49.05297034593433,289.6666666666667,290.8,288.0,288.5612927057617,0.0,0.0,0.0,0.0,48.83899087612584,51.35702988380591,51.09822409239542,50.05297741888619,279.6666666666667,295.0,297.2857142857143,291.5399904260326,1.5654907195571954,low,0,high-activity low-recovery user
1503960366,2016-05-01,10602.0,314.0,0.17197452229299362,6.15,70.0,62.0,6,1,fitbit,6.0,62.0,272.0,50.34569426751592,0.0,0.0,42.0,6.733333333333333,53.90032673267327,303.0,0.0,333.0,14727.0,6.188888888888889,5.75,5.790476190476191,5.978860447806719,0.10555555555555547,0.44666666666666666,0.5178571428571429,0.34506008293115514,48.83899087612584,51.35702988380591,51.09822409239542,50.05297741888619,279.6666666666667,295.0,297.2857142857143,291.5399904260326,0.0,0.0,0.0,0.0,49.658109091083965,50.438416262061565,50.39958253272838,50.11336475079409,296.0,297.2,295.85714285714283,296.17347858753413,1.8865114356435646,medium,0,high-activity low-recovery user
1503960366,2016-05-02,14727.0,333.0,0.15015015015015015,4.616666666666666,70.0,62.0,0,0,fitbit,6.008333333333333,62.0,277.0,56.4888018018018,1.3916666666666666,0.0,56.0,6.15,50.34569426751592,314.0,0.0,328.0,15103.0,5.833333333333333,5.8566666666666665,5.4261904761904765,5.697840587249796,0.46388888888888885,0.3416666666666666,0.7166666666666667,0.5609744706573694,49.658109091083965,50.438416262061565,50.39958253272838,50.11336475079409,296.0,297.2,295.85714285714283,296.17347858753413,0.0,0.0,0.0,0.0,53.57827426733033,50.67029373953905,51.94566364119247,51.428614061038466,316.6666666666667,297.2,303.14285714285717,303.7707705847611,3.362515966029724,high,0,high-activity low-recovery user
