feature,importance_mean,importance_std
sleep_debt_hours,0.2892371628254844,0.04516871106236472
previous_activity_load,0.14416711649322492,0.03327193937193427
active_minutes_lag_1d,0.021374383376282516,0.02232200045061609
resting_hr_deviation,0.015433666955789127,0.015655833893831125
resting_hr_deviation_lag_1d,0.00019179119735324157,0.005324997607440751
is_weekend,0.0,0.0
sleep_lag_1d,-0.005371918270854453,0.009304435379227462
sleep_hours,-0.009872698666991794,0.01405478365522744
weekday,-0.010743836541708907,0.010743836541708907
resting_heart_rate,-0.020469942484077464,0.011719023029511255
